نوع المكون الغذائي مثل بروتين/نشويات/خضار/مياه,الحصة المقترحة للفرد الواحد بالجرام أو الملعقة,ملاحظة هامة للمدبرة عند التحضير
نشويات (أرز/مكرونة),طبق متوسط أو 6-8  ملاعق,يفضل طهيها بطريقة صحية مع تقليل الدهون المستخدمة 
نشويات (تمر),3-5  حبات تمر,يفضل البدء بها عند الإفطار لسهولة الهضم والامتصاص السريع للسكريات الطبيعية.
بروتين (دجاج/لحم/سمك),1/4 دجاجة أو قطعة لحم متوسطة أو 2  شريحة سمك,يفضل أن يكون مشوياً أو مسلوقاً وتجنب المقليات لتقليل السعرات الحرارية والدهون المشبعة.
خضروات (سلطة/مطهية),طبق متوسط,طهي الخضار عند درجة حرارة منخفضة وبكمية قليلة من الماء للاحتفاظ بالفيتامينات والمعادن.
بقوليات (فول مدمس),طبق صغير أو حوالي  3-4 ملاعق,تعتبر من الأغذية التي تعطي إحساساً طويلاً بالشبع؛ يفضل إضافتها في وجبة السحور.
ألبان (زبادي/لبن),كوب واحد ( 200 مل تقريباً),ضروري جداً في وجبة السحور للمساعدة على الهضم وإعطاء إحساس بالارتواء خلال فترة الصيام.
مياه/سوائل,8-12  كوب يوميا,يجب توزيع الكمية في الفترة بين الإفطار والسحور لتجنب الجفاف والعطش وتجنب السكريات المضافة.
فواكه,ثمرة فاكهة واحدة,يفضل تناول الفاكهة كاملة بدلاً من العصير للاستفادة من الألياف، ويمكن استخدامها كبديل طبيعي للحلويات.
حلويات رمضانية,قطعة صغيرة,يجب تقليل كميات السكر والدهون المضافة واستبدال الكريمة بقطع الفاكهة الطازجة للتزيين.
